 Date__(UT)__HR:MN, , , R.A._(ICRF), DEC__(ICRF),    APmag,  S-brt,             delta,     deldot,     S-O-T,/r,     S-T-O,  Sky_motion, Sky_mot_PA, RelVel-ANG, Lun_Sky_Brt  sky_SNR
*************************************************************************************************************************************************************************************
$$SOE
 1990-Nov-18 20:00, , , 04 20 10.96, +23 07 10.0,     n.a.,   n.a.,  1.15729030382181, 12.3566787,  127.8604,/L,    0.1882,   2.4263392,  96.099106,  20.004047,        n.a.     n.a.
 1990-Nov-19 20:00, , , 04 24 17.29, +23 17 39.2,     n.a.,   n.a.,  1.16457667361532, 12.8872580,  141.0663,/L,    0.1502,   2.3715436,  96.234337,  21.107879,        n.a.     n.a.
 1990-Nov-20 20:00, , , 04 28 18.96, +23 27 26.3,     n.a.,   n.a.,  1.17218638576949, 13.4735735,  154.2765,/L,    0.1052,   2.3226777,  96.357349,  22.264453,        n.a.     n.a.
 1990-Nov-21 20:00, , , 04 32 16.55, +23 36 35.2,     n.a.,   n.a.,  1.18014634480158, 14.0968386,  167.4318,/L,    0.0556,   2.2805203,  96.462215,  23.428058,        n.a.     n.a.
 1990-Nov-22 20:00, , , 04 36 10.73, +23 45 09.7,     n.a.,   n.a.,  1.18847180643638, 14.7356341,  177.5183,/T,    0.0088,   2.2454802,  96.543983,  24.551015,        n.a.     n.a.
 1990-Nov-23 20:00, , , 04 40 02.16, +23 53 13.5,     n.a.,   n.a.,  1.19716519097132, 15.3671513,  165.5947,/T,    0.0483,   2.2175800,  96.599217,  25.588342,        n.a.     n.a.
 1990-Nov-24 20:00, , , 04 43 51.52, +24 00 50.3,     n.a.,   n.a.,  1.20621564467927, 15.9684459,  152.3790,/T,    0.0953,   2.1964573,  96.626405,  26.501877,        n.a.     n.a.
 1990-Nov-25 20:00, , , 04 47 39.43, +24 08 03.3,     n.a.,   n.a.,  1.21559933497838, 16.5177277,  139.0978,/T,    0.1364,   2.1813920,  96.626104,  27.263258,        n.a.     n.a.
 1990-Nov-26 20:00, , , 04 51 26.44, +24 14 55.1,     n.a.,   n.a.,  1.22528047616012, 16.9955695,  125.7958,/T,    0.1694,   2.1713530,  96.600843,  27.855398,        n.a.     n.a.
 1990-Nov-27 20:00, , , 04 55 12.97, +24 21 27.9,     n.a.,   n.a.,  1.23521301922932, 17.3860764,  112.4842,/T,    0.1925,   2.1650676,  96.554767,  28.272614,        n.a.     n.a.
 1990-Nov-28 20:00, , , 04 58 59.32, +24 27 43.3,     n.a.,   n.a.,  1.24534295693811, 17.6776576,   99.1672,/T,    0.2047,   2.1610931,  96.493181,  28.519506,        n.a.     n.a.
 1990-Nov-29 20:00, , , 05 02 45.64, +24 33 41.9,     n.a.,   n.a.,  1.25561100887028, 17.8637438,   85.8468,/T,    0.2056,   2.1579105,  96.421979,  28.609125,        n.a.     n.a.
 1990-Nov-30 20:00, , , 05 06 31.90, +24 39 24.1,     n.a.,   n.a.,  1.26595563839060, 17.9431261,   72.5242,/T,    0.1951,   2.1539895,  96.347241,  28.562060,        n.a.     n.a.
 1990-Dec-01 20:00, , , 05 10 17.94, +24 44 49.6,     n.a.,   n.a.,  1.27631617172610, 17.9200007,   59.1993,/T,    0.1738,   2.1478974,  96.274715,  28.403295,        n.a.     n.a.
 1990-Dec-02 20:00, , , 05 14 03.46, +24 49 57.7,     n.a.,   n.a.,  1.28663588916122, 17.8038284,   45.8716,/T,    0.1433,   2.1383588,  96.209580,  28.161632,        n.a.     n.a.
 1990-Dec-03 20:00, , , 05 17 48.01, +24 54 47.3,     n.a.,   n.a.,  1.29686495155386, 17.6087209,   32.5409,/T,    0.1052,   2.1243172,  96.156347,  27.868175,        n.a.     n.a.
 1990-Dec-04 20:00, , , 05 21 31.07, +24 59 17.2,     n.a.,   n.a.,  1.30696281166294, 17.3527826,   19.2094,/T,    0.0618,   2.1049889,  96.118651,  27.555432,        n.a.     n.a.
 1990-Dec-05 20:00, , , 05 25 12.03, +25 03 26.2,     n.a.,   n.a.,  1.31690032421631, 17.0571611,    5.9174,/T,    0.0157,   2.0798967,  96.099287,  27.256537,        n.a.     n.a.
 1990-Dec-06 20:00, , , 05 28 50.26, +25 07 13.0,     n.a.,   n.a.,  1.32666117587912, 16.7449547,    7.5972,/L,    0.0322,   2.0488900,  96.100183,  27.004525,        n.a.     n.a.
 1990-Dec-07 20:00, , , 05 32 25.12, +25 10 36.8,     n.a.,   n.a.,  1.33624265910164, 16.4399958,   20.9312,/L,    0.0770,   2.0121486,  96.122388,  26.831516,        n.a.     n.a.
 1990-Dec-08 20:00, , , 05 35 55.99, +25 13 36.7,     n.a.,   n.a.,  1.34565578202773, 16.1656886,   34.3142,/L,    0.1175,   1.9701743,  96.166024,  26.767796,        n.a.     n.a.
 1990-Dec-09 20:00, , , 05 39 22.35, +25 16 12.4,     n.a.,   n.a.,  1.35492459417035, 15.9436430,   47.7202,/L,    0.1514,   1.9237616,  96.230243,  26.840357,        n.a.     n.a.
 1990-Dec-10 20:00, , , 05 42 43.74, +25 18 23.9,     n.a.,   n.a.,  1.36408485155348, 15.7925857,   61.1474,/L,    0.1770,   1.8739600,  96.313129,  27.071250,        n.a.     n.a.
 1990-Dec-11 20:00, , , 05 45 59.85, +25 20 11.6,     n.a.,   n.a.,  1.37318203084993, 15.7272933,   74.5958,/L,    0.1929,   1.8220199,  96.411612,  27.475452,        n.a.     n.a.
 1990-Dec-12 20:00, , , 05 49 10.49, +25 21 36.2,     n.a.,   n.a.,  1.38226878384989, 15.7577211,   88.0658,/L,    0.1984,   1.7693281,  96.521404,  28.058498,        n.a.     n.a.
 1990-Dec-13 20:00, , , 05 52 15.63, +25 22 39.0,     n.a.,   n.a.,  1.39140198281191, 15.8884262,  101.5574,/L,    0.1930,   1.7173373,  96.636990,  28.814096,        n.a.     n.a.
 1990-Dec-14 20:00, , , 05 55 15.40, +25 23 21.4,     n.a.,   n.a.,  1.40063946290085, 16.1181758,  115.0693,/L,    0.1777,   1.6674728,  96.751832,  29.723283,        n.a.     n.a.
 1990-Dec-15 20:00, , , 05 58 10.07, +25 23 45.0,     n.a.,   n.a.,  1.41003667224638, 16.4399608,  128.6007,/L,    0.1531,   1.6210741,  96.858585,  30.752822,        n.a.     n.a.
 1990-Dec-16 20:00, , , 06 01 00.07, +25 23 51.7,     n.a.,   n.a.,  1.41964341554652, 16.8413201,  142.1499,/L,    0.1206,   1.5793025,  96.949690,  31.857639,        n.a.     n.a.
 1990-Dec-17 20:00, , , 06 03 45.91, +25 23 43.4,     n.a.,   n.a.,  1.42950086912886, 17.3049731,  155.7148,/L,    0.0822,   1.5430777,  97.018061,  32.984077,        n.a.     n.a.
 1990-Dec-18 20:00, , , 06 06 28.22, +25 23 21.9,     n.a.,   n.a.,  1.43963905582470, 17.8097627,  169.2928,/L,    0.0400,   1.5130233,  97.057898,  34.075042,        n.a.     n.a.
